path	filename	title	authors	year	file_size_bytes
/Users/bustin/Downloads/petase/chen_genfeaturesenhance_2021.pdf	chen_genfeaturesenhance_2021.pdf	General features to enhance enzymatic activity of poly(ethylene terephthalate) hydrolysis	"(
    Springer
)"	2025-10-12 18:12:40 +0000	2651867
/Users/bustin/Downloads/petase/chen_supp_2021.pdf	chen_supp_2021.pdf		"(
    ""Adobe InDesign CS6 (Windows)""
)"	2026-01-05 23:50:57 +0000	7981252
/Users/bustin/Downloads/petase/cui_eng_2024.pdf	cui_eng_2024.pdf	Computational redesign of a hydrolase for nearly complete PET depolymerization at industrially relevant high-solids loading	"(
    Springer
)"	2025-10-12 18:12:48 +0000	3876542
/Users/bustin/Downloads/petase/doelsnitz_2023.pdf	doelsnitz_2023.pdf	Biosensor and machine learning-aided engineering of an amaryllidaceae enzyme	"(
    Springer
)"	2026-01-17 14:34:27 +0000	2622117
/Users/bustin/Downloads/petase/drive_petase/GNN/ESP(2023).pdf	ESP(2023).pdf	A general model to predict small molecule substrates of enzymes based on machine and deep learning	"(
    Springer
)"	2025-11-06 18:18:54 +0000	1377078
/Users/bustin/Downloads/petase/drive_petase/GNN/STABILITY_ORACLE_GNN.pdf	STABILITY_ORACLE_GNN.pdf	Stability Oracle: a structure-based graph-transformer framework for identifying stabilizing mutations	"(
    Springer
)"	2025-11-24 21:11:56 +0000	2597454
/Users/bustin/Downloads/petase/drive_petase/GNN/ch3_gnn.pdf	ch3_gnn.pdf	Chapter 3 Graph Neural Network-Based Approaches for Protein Function Prediction	"(
    ""Arbortext Advanced Print Publisher 9.0.223/W Unicode""
)"	2025-11-06 18:16:18 +0000	265446
/Users/bustin/Downloads/petase/drive_petase/GNN/lingdo3d(2024).pdf	lingdo3d(2024).pdf	Generation of 3D molecules in pockets via a language model	"(
    Springer
)"	2025-11-06 18:18:32 +0000	3062564
/Users/bustin/Downloads/petase/drive_petase/GNN/protfun.pdf	protfun.pdf	ProtFun: A Protein Function Prediction Model Using Graph Attention Networks with a Protein Large Language Model	"(
    ""LaTeX with hyperref""
)"	2025-11-06 18:18:14 +0000	521988
/Users/bustin/Downloads/petase/drive_petase/PEtase/Cui_Supp.pdf	Cui_Supp.pdf		"(
    ""Microsoft\U00ae Word 2016""
)"	2025-10-12 15:12:20 +0000	2518702
/Users/bustin/Downloads/petase/drive_petase/PEtase/Hong_caPETase_2023.pdf	Hong_caPETase_2023.pdf	Discovery and rational engineering of PET hydrolase with both mesophilic and thermophilic PET hydrolase properties	"(
    Springer
)"	2025-10-12 15:12:42 +0000	2499600
/Users/bustin/Downloads/petase/drive_petase/PEtase/Hong_supp.pdf	Hong_supp.pdf	PowerPoint 프레젠테이션	"(
    ""Microsoft\U00ae PowerPoint\U00ae Microsoft 365\U110b\U116d\U11bc""
)"	2025-10-12 15:12:26 +0000	10076950
/Users/bustin/Downloads/petase/drive_petase/PEtase/Lu_Supp.pdf	Lu_Supp.pdf		"(
    ""Adobe InDesign CS6 (Windows)""
)"	2025-10-12 15:12:24 +0000	2480123
/Users/bustin/Downloads/petase/drive_petase/PEtase/alam_2025.pdf	alam_2025.pdf	Widespread distribution of bacteria containing PETases with a functional motif across global oceans	"(
    ""LaTeX with hyperref package""
)"	2025-10-12 15:12:14 +0000	2231362
/Users/bustin/Downloads/petase/drive_petase/PEtase/alam_supp.pdf	alam_supp.pdf			2025-10-12 15:12:16 +0000	11781009
/Users/bustin/Downloads/petase/drive_petase/PEtase/align2023_paper.pdf	align2023_paper.pdf	Results of the Protein Engineering Tournament: An Open Science Benchmark for Protein Modeling and Design		2025-09-14 16:32:58 +0000	2609603
/Users/bustin/Downloads/petase/drive_petase/PEtase/bell_direvo_2022.pdf	bell_direvo_2022.pdf	Directed evolution of an efficient and thermostable PET depolymerase	"(
    Springer
)"	2025-10-12 15:12:52 +0000	6029046
/Users/bustin/Downloads/petase/drive_petase/PEtase/bell_supp.pdf	bell_supp.pdf		"(
    ""Adobe InDesign CS6 (Windows)""
)"	2026-01-04 18:39:40 +0000	5787594
/Users/bustin/Downloads/petase/drive_petase/PEtase/brott_2021.pdf	brott_2021.pdf	Engineering and evaluation of thermostable IsPETase variants for PET degradation	"(
    ""LaTeX with hyperref package""
)"	2026-01-04 18:48:26 +0000	1122778
/Users/bustin/Downloads/petase/drive_petase/PEtase/brott_supp.pdf	brott_supp.pdf	elsc.202100105_Eng_Life_ Sci._Paper_PETase_Supporting Information_Revision_Clean	"(
    Word
)"	2025-12-30 05:06:26 +0000	10566026
/Users/bustin/Downloads/petase/drive_petase/PEtase/bugin_mechanism_2024.pdf	bugin_mechanism_2024.pdf	The reaction mechanism of the Ideonella sakaiensis PETase enzyme	"(
    Springer
)"	2025-10-12 15:12:46 +0000	2472309
/Users/bustin/Downloads/petase/drive_petase/PEtase/charlier_ph_2024.pdf.pdf	charlier_ph_2024.pdf.pdf	Exploring the pH dependence of an improved PETase	"(
    Elsevier
)"	2026-01-05 20:47:00 +0000	5376059
/Users/bustin/Downloads/petase/drive_petase/PEtase/chen_genfeaturesenhance_2021.pdf	chen_genfeaturesenhance_2021.pdf	General features to enhance enzymatic activity of poly(ethylene terephthalate) hydrolysis	"(
    Springer
)"	2025-10-12 15:12:40 +0000	2651867
/Users/bustin/Downloads/petase/drive_petase/PEtase/chen_supp_2021.pdf	chen_supp_2021.pdf		"(
    ""Adobe InDesign CS6 (Windows)""
)"	2026-01-05 20:50:56 +0000	7981252
/Users/bustin/Downloads/petase/drive_petase/PEtase/cui_eng_2024.pdf	cui_eng_2024.pdf	Computational redesign of a hydrolase for nearly complete PET depolymerization at industrially relevant high-solids loading	"(
    Springer
)"	2025-10-12 15:12:48 +0000	3876542
/Users/bustin/Downloads/petase/drive_petase/PEtase/doelsnitz_2023.pdf	doelsnitz_2023.pdf	Biosensor and machine learning-aided engineering of an amaryllidaceae enzyme	"(
    Springer
)"	2026-01-17 11:34:26 +0000	2622117
/Users/bustin/Downloads/petase/drive_petase/PEtase/erickson_nature_2022.pdf	erickson_nature_2022.pdf	Sourcing thermotolerant poly(ethylene terephthalate) hydrolase scaffolds from natural diversity	"(
    Springer
)"	2025-10-12 15:13:02 +0000	2412772
/Users/bustin/Downloads/petase/drive_petase/PEtase/erickson_supp.pdf	erickson_supp.pdf	Microsoft Word - Supplementary_Information_Proofed.docx	"(
    Word
)"	2026-01-05 22:20:30 +0000	11449183
/Users/bustin/Downloads/petase/drive_petase/PEtase/garcia_fastpetase_2023.pdf	garcia_fastpetase_2023.pdf	Insights into the Enhancement of the Poly(ethylene terephthalate) Degradation by FAST-PETase from Computational Modeling	"(
    ""Arbortext Publishing Engine""
)"	2025-10-12 15:12:32 +0000	8709465
/Users/bustin/Downloads/petase/drive_petase/PEtase/han_mechanism_2017.pdf	han_mechanism_2017.pdf	Structural insight into catalytic mechanism of PET hydrolase	"(
    Springer
)"	2025-10-12 15:12:50 +0000	1099671
/Users/bustin/Downloads/petase/drive_petase/PEtase/hong_nature_eng_2023.pdf	hong_nature_eng_2023.pdf	Discovery and rational engineering of PET hydrolase with both mesophilic and thermophilic PET hydrolase properties	"(
    Springer
)"	2025-10-12 15:12:54 +0000	2499600
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/1-s2.0-S0006349524006283-main.pdf	1-s2.0-S0006349524006283-main.pdf	Measuring PETase enzyme kinetics by single-molecule microscopy	"(
    Elsevier
)"	2026-01-03 10:04:56 +0000	2593259
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/1-s2.0-S0304389423019155-main.pdf	1-s2.0-S0304389423019155-main.pdf	Biodegradation of poly(ethylene terephthalate) through PETase surface-display: From function to structure	"(
    Elsevier
)"	2026-01-03 10:01:54 +0000	7604316
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/1-s2.0-S2405805X25001632-main.pdf	1-s2.0-S2405805X25001632-main.pdf	Synergistic engineering PETase reveals loop-region mutations for enhanced catalytic activity and thermal stability	"(
    Elsevier
)"	2026-01-03 10:03:36 +0000	10785032
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/Almeidaetal.2019b.pdf	Almeidaetal.2019b.pdf	In silico Screening and Heterologous Expression of a Polyethylene Terephthalate Hydrolase (PETase)-Like Enzyme (SM14est) With Polycaprolactone (PCL)-Degrading Activity, From the Marine Sponge-Derived Strain Streptomyces sp. SM14	"(
    ""LaTeX with hyperref package""
)"	2026-01-03 10:00:22 +0000	9745259
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/Biotech   Bioengineering - 2023 - Sana - Thermostability enhancement of polyethylene terephthalate degrading PETase using.pdf	Biotech   Bioengineering - 2023 - Sana - Thermostability enhancement of polyethylene terephthalate degrading PETase using.pdf	Thermostability enhancement of polyethylene terephthalate degrading PETase using self‐ and nonself‐ligating protein scaffolding approaches	"(
    ""John Wiley & Sons""
)"	2026-01-03 10:02:06 +0000	1825757
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/Biotechnology Journal - 2024 - Orr - Streamlined screening of extracellularly expressed PETase libraries for improved.pdf	Biotechnology Journal - 2024 - Orr - Streamlined screening of extracellularly expressed PETase libraries for improved.pdf	Streamlined screening of extracellularly expressed PETase libraries for improved polyethylene terephthalate degradation	"(
    ""LaTeX with hyperref package""
)"	2026-01-03 10:04:16 +0000	574112
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/PIIS0021925824001595.pdf	PIIS0021925824001595.pdf	Analysis of Poly(ethylene terephthalate) degradation kinetics of evolved IsPETase variants using a surface crowding model	"(
    Elsevier
)"	2026-01-03 10:04:00 +0000	2718756
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/The FEBS Journal - 2018 - Chen - Structural studies reveal the molecular mechanism of PETase.pdf	The FEBS Journal - 2018 - Chen - Structural studies reveal the molecular mechanism of PETase.pdf	Structural studies reveal the molecular mechanism of PETase	"(
    ""Arbortext Advanced Print Publisher 9.1.531/W Unicode""
)"	2026-01-03 10:05:16 +0000	593440
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/The FEBS Journal - 2025 - Bhattacharya - Development of a highly active engineered PETase enzyme for polyester degradation.pdf	The FEBS Journal - 2025 - Bhattacharya - Development of a highly active engineered PETase enzyme for polyester degradation.pdf	Development of a highly active engineered PETase enzyme for polyester degradation	"(
    ""Arbortext Advanced Print Publisher 9.1.531/W Unicode""
)"	2026-01-03 10:05:24 +0000	1098298
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/assessment-of-four-engineered-pet-degrading-enzymes-considering-large-scale-industrial-applications.pdf	assessment-of-four-engineered-pet-degrading-enzymes-considering-large-scale-industrial-applications.pdf	Assessment of Four Engineered PET Degrading Enzymes Considering Large-Scale Industrial Applications	"(
    ""Arbortext Publishing Engine""
)"	2026-01-03 10:01:58 +0000	6068892
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/austin-et-al-2018-characterization-and-engineering-of-a-plastic-degrading-aromatic-polyesterase.pdf	austin-et-al-2018-characterization-and-engineering-of-a-plastic-degrading-aromatic-polyesterase.pdf	Characterization and engineering of a plastic-degrading aromatic polyesterase	"(
    ""Arbortext Advanced Print Publisher 9.1.510/W Unicode""
)"	2026-01-03 10:04:34 +0000	1626874
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/biomolecules-15-00888.pdf	biomolecules-15-00888.pdf	Improving the Catalytic Activity and Thermostability of FAST-PETase with a Multifunctional Short Peptide	"(
    ""LaTeX with hyperref""
)"	2026-01-03 10:04:22 +0000	1256955
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/catalysts-11-00206-v2.pdf	catalysts-11-00206-v2.pdf	The Current State of Research on PET Hydrolyzing Enzymes Available for Biorecycling	"(
    ""LaTeX with hyperref""
)"	2026-01-03 10:05:10 +0000	862924
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/conformational-selection-in-biocatalytic-plastic-degradation-by-petase.pdf	conformational-selection-in-biocatalytic-plastic-degradation-by-petase.pdf	Conformational Selection in Biocatalytic Plastic Degradation by PETase	"(
    ""Arbortext Advanced Print Publisher 11.2.5208/W Library-x64""
)"	2026-01-03 10:00:34 +0000	13826396
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/erickson2021.pdf	erickson2021.pdf	Comparative Performance of PETase as a Function of Reaction Conditions, Substrate Properties, and Product Accumulation	"(
    ""ima-server\U00ae""
)"	2026-01-03 10:03:02 +0000	1958767
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/fbioe-09-771133.pdf	fbioe-09-771133.pdf	fbioe-2021-771133 1..15	"(
    ""Arbortext Advanced Print Publisher 9.1.510/W Unicode""
)"	2026-01-03 10:02:10 +0000	1193460
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/functional-and-structural-characterization-of-petase-sm14-from-marine-sponge-streptomyces-sp-active-on-polyethylene.pdf	functional-and-structural-characterization-of-petase-sm14-from-marine-sponge-streptomyces-sp-active-on-polyethylene.pdf	Functional and Structural Characterization of PETase SM14 from Marine-Sponge Streptomyces sp. Active on Polyethylene Terephthalate	"(
    ""Arbortext Publishing Engine""
)"	2026-01-03 10:05:04 +0000	7088163
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/gzae009.pdf	gzae009.pdf	Improving plastic degrading enzymes via directed evolution	"(
    ""LaTeX with hyperref package""
)"	2026-01-03 10:04:50 +0000	1610054
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/joo_2018.pdf	joo_2018.pdf	Structural insight into molecular mechanism of poly(ethylene terephthalate) degradation	"(
    Springer
)"	2026-01-04 15:32:24 +0000	5749067
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/molecules-29-01338.pdf	molecules-29-01338.pdf	Molecular Insights into the Enhanced Activity and/or Thermostability of PET Hydrolase by D186 Mutations	"(
    ""LaTeX with hyperref""
)"	2026-01-03 10:05:30 +0000	4855195
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/ollis_update_2009.pdf	ollis_update_2009.pdf	untitled		2026-01-04 12:29:48 +0000	671527
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/s41467-023-37374-3.pdf	s41467-023-37374-3.pdf	Complete bio-degradation of poly(butylene adipate-co-terephthalate) via engineered cutinases	"(
    Springer
)"	2026-01-03 10:04:10 +0000	1559871
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/s41598-020-79031-5.pdf	s41598-020-79031-5.pdf	An absorbance method for analysis of enzymatic degradation kinetics of poly(ethylene terephthalate) films	"(
    Springer
)"	2026-01-03 10:00:30 +0000	2952182
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/s41598-024-84177-7.pdf	s41598-024-84177-7.pdf		"(
    ""Adobe InDesign 18.0 (Windows)""
)"	2026-01-03 10:04:04 +0000	1939670
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/s41598-024-84718-0.pdf	s41598-024-84718-0.pdf		"(
    ""Adobe InDesign 18.3 (Windows)""
)"	2026-01-03 10:04:06 +0000	7065110
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/s42003-023-04413-0.pdf	s42003-023-04413-0.pdf	Improving the activity and thermostability of PETase from Ideonella sakaiensis through modulating its post-translational glycan modification	"(
    Springer
)"	2026-01-03 10:05:56 +0000	1449546
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/s42452-025-07764-x.pdf	s42452-025-07764-x.pdf		"(
    ""Adobe InDesign 18.3 (Windows)""
)"	2026-01-03 10:04:36 +0000	3462472
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/science.adp5637.pdf	science.adp5637.pdf	Landscape profiling of PET depolymerases using a natural sequence cluster framework	"(
    ""Arbortext Advanced Print Publisher 9.1.440/W Unicode""
)"	2026-01-03 10:05:48 +0000	2869797
/Users/bustin/Downloads/petase/drive_petase/PEtase/jan3/the-effect-of-ionic-strength-on-pe-tase-enzymes-an-experimental-and-computational-study.pdf	the-effect-of-ionic-strength-on-pe-tase-enzymes-an-experimental-and-computational-study.pdf		"(
    Word
)"	2026-01-03 10:05:54 +0000	7540423
/Users/bustin/Downloads/petase/drive_petase/PEtase/liu_petase_summary.pdf	liu_petase_summary.pdf		"(
    ""Arbortext Advanced Print Publisher 9.1.510/W Unicode""
)"	2026-01-17 11:34:18 +0000	8993030
/Users/bustin/Downloads/petase/drive_petase/PEtase/lu_fastpetase_2022.pdf	lu_fastpetase_2022.pdf	Machine learning-aided engineering of hydrolases for PET depolymerization	"(
    Springer
)"	2025-10-12 15:13:00 +0000	19036097
/Users/bustin/Downloads/petase/drive_petase/PEtase/ma_2018.pdf	ma_2018.pdf	Enhanced Poly(ethylene terephthalate) Hydrolase Activity by Protein Engineering	"(
    Elsevier
)"	2026-01-04 15:35:12 +0000	1391834
/Users/bustin/Downloads/petase/drive_petase/PEtase/nonpetase/drugclip_2026.pdf	drugclip_2026.pdf	Deep contrastive learning enables genome-wide virtual screening	"(
    ""Adobe InDesign 19.5 (Windows)""
)"	2026-01-12 04:40:12 +0000	2628340
/Users/bustin/Downloads/petase/drive_petase/PEtase/nonpetase/geoevobuilder_2025.pdf	geoevobuilder_2025.pdf	PKUliujl/GeoEvoBuilder	"(
    ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36""
)"	2026-01-12 15:41:52 +0000	1677340
/Users/bustin/Downloads/petase/drive_petase/PEtase/nonpetase/kohout_dehalogenase_2025.pdf	kohout_dehalogenase_2025.pdf	au4c01101 1..13	"(
    ""Arbortext Publishing Engine""
)"	2026-01-12 15:37:44 +0000	3056633
/Users/bustin/Downloads/petase/drive_petase/PEtase/nonpetase/madani_llm_2025.pdf	madani_llm_2025.pdf	Large language models generate functional protein sequences across diverse families	"(
    Springer
)"	2026-01-12 15:42:04 +0000	3898488
/Users/bustin/Downloads/petase/drive_petase/PEtase/nonpetase/reau_deeprank_2023.pdf	reau_deeprank_2023.pdf	OP-CBIO220770 1..8	"(
    ""Arbortext Advanced Print Publisher 9.0.114/W""
)"	2026-01-12 15:38:02 +0000	465737
/Users/bustin/Downloads/petase/drive_petase/PEtase/norton_mlnature2025.pdf	norton_mlnature2025.pdf	Machine Learning-Guided Identification of PET Hydrolases from Natural Diversity	"(
    ""Arbortext Publishing Engine""
)"	2025-09-28 19:05:16 +0000	6238353
/Users/bustin/Downloads/petase/drive_petase/PEtase/norton_si_003.pdf	norton_si_003.pdf			2026-01-06 00:18:48 +0000	360604
/Users/bustin/Downloads/petase/drive_petase/PEtase/norton_supp_2025.pdf	norton_supp_2025.pdf			2026-01-06 00:18:00 +0000	3461499
/Users/bustin/Downloads/petase/drive_petase/PEtase/son_rationaleng_2019.pdf	son_rationaleng_2019.pdf	Rational Protein Engineering of Thermo-Stable PETase from Ideonella sakaiensis for Highly Efficient PET Degradation	"(
    ""PTC Arbortext Advanced Print Publisher 11.1.4300/W Library-x64""
)"	2025-10-12 15:13:06 +0000	6292357
/Users/bustin/Downloads/petase/drive_petase/PEtase/stevensen_stability_2025.pdf	stevensen_stability_2025.pdf	Thermostability and Activity Improvements of PETase from Ideonella sakaiensis	"(
    ""Arbortext Publishing Engine""
)"	2025-10-12 15:12:36 +0000	15463413
/Users/bustin/Downloads/petase/drive_petase/PEtase/structure_based_learning_shroff.pdf	structure_based_learning_shroff.pdf	A structure-based deep learning framework for protein engineering	"(
    ""PDFsam Basic v3.3.7""
)"	2026-01-17 11:34:24 +0000	2177748
/Users/bustin/Downloads/petase/drive_petase/PEtase/tournier_2020.pdf	tournier_2020.pdf	An engineered PET depolymerase to break down and recycle plastic bottles	"(
    Springer
)"	2025-10-12 15:12:18 +0000	5674539
/Users/bustin/Downloads/petase/drive_petase/PEtase/tournier_supp.pdf	tournier_supp.pdf		"(
    ""Adobe InDesign CS6 (Windows)""
)"	2025-10-12 15:11:42 +0000	691936
/Users/bustin/Downloads/petase/drive_petase/PEtase/vongsouthi_ancestral_2025.pdf	vongsouthi_ancestral_2025.pdf	Ancestral reconstruction of polyethylene terephthalate degrading cutinases reveals a rugged and unexplored sequence-fitness landscape	"(
    ""Adobe InDesign 19.5 (Windows)""
)"	2025-10-12 15:12:38 +0000	6935764
/Users/bustin/Downloads/petase/drive_petase/PEtase/wang_eng_2024.pdf	wang_eng_2024.pdf	Molecular engineering of PETase for efficient PET biodegradation	"(
    Elsevier
)"	2025-08-11 18:31:34 +0000	9538912
/Users/bustin/Downloads/petase/drive_petase/PEtase/wu_PLMpet_2025.pdf	wu_PLMpet_2025.pdf	Harnessing protein language model for structure-based discovery of highly efficient and robust PET hydrolases	"(
    Springer
)"	2025-10-12 15:13:04 +0000	4391740
/Users/bustin/Downloads/petase/drive_petase/PLM/METL_proteineng_PLM.pdf	METL_proteineng_PLM.pdf	Biophysics-based protein language models for protein engineering	"(
    Springer
)"	2025-09-28 21:54:48 +0000	3405143
/Users/bustin/Downloads/petase/drive_petase/PLM/SAPLM.pdf	SAPLM.pdf	Structure-Aligned Protein Language Model	"(
    ""arXiv GenPDF (tex2pdf:)""
)"	2025-11-21 01:57:38 +0000	7507948
/Users/bustin/Downloads/petase/drive_petase/PLM/esm1.pdf	esm1.pdf		"(
    ""Arbortext Advanced Print Publisher 9.1.510/W Unicode""
)"	2025-11-21 02:00:14 +0000	2755080
/Users/bustin/Downloads/petase/drive_petase/PLM/esm2.pdf	esm2.pdf	Evolutionary-scale prediction of atomic-level protein structure with a language model	"(
    ""Arbortext Advanced Print Publisher 9.1.440/W Unicode""
)"	2025-11-21 01:56:48 +0000	4908485
/Users/bustin/Downloads/petase/drive_petase/PLM/esm3.pdf	esm3.pdf	Simulating 500 million years of evolution with a language model	"(
    ""Arbortext Advanced Print Publisher 9.1.440/W Unicode""
)"	2025-11-21 01:58:54 +0000	2809902
/Users/bustin/Downloads/petase/drive_petase/PLM/evollama.pdf	evollama.pdf		"(
    ""LaTeX with hyperref""
)"	2025-11-21 01:57:46 +0000	2031569
/Users/bustin/Downloads/petase/drive_petase/PLM/learning_proteinlanguagecell.pdf	learning_proteinlanguagecell.pdf	Learning the protein language: Evolution, structure, and function	"(
    Elsevier
)"	2025-06-14 20:23:04 +0000	3550176
/Users/bustin/Downloads/petase/drive_petase/PLM/openrag-esm.pdf	openrag-esm.pdf		"(
    ""LaTeX with hyperref""
)"	2025-11-24 03:00:02 +0000	4533568
/Users/bustin/Downloads/petase/drive_petase/PLM/pLLM_learn_interactmotifs.pdf	pLLM_learn_interactmotifs.pdf	Protein language models learn evolutionary statistics of interacting sequence motifs	"(
    ""LaTeX with hyperref package""
)"	2025-06-14 20:24:38 +0000	19131524
/Users/bustin/Downloads/petase/drive_petase/PLM/prost5.pdf	prost5.pdf	ProstT5: Bilingual Language Model for Protein Sequence and Structure		2025-11-21 01:57:06 +0000	2429838
/Users/bustin/Downloads/petase/drive_petase/PLM/proteinbert.pdf	proteinbert.pdf	OP-CBIO220027 2102..2110	"(
    ""Arbortext Advanced Print Publisher 9.0.114/W""
)"	2025-11-21 01:56:56 +0000	2098230
/Users/bustin/Downloads/petase/drive_petase/Reviews/978-1-0716-2617-7.pdf	978-1-0716-2617-7.pdf	Computational Biology and Machine Learning for Metabolic Engineering and Synthetic Biology		2023-10-20 16:13:54 +0000	25555294
/Users/bustin/Downloads/petase/drive_petase/Reviews/AI for natural product discovery.pdf	AI for natural product discovery.pdf	Artificial intelligence for natural product drug discovery	"(
    Springer
)"	2023-10-16 16:00:02 +0000	5237005
/Users/bustin/Downloads/petase/drive_petase/Reviews/ch3_struct_alignment.pdf	ch3_struct_alignment.pdf		"(
    ""LaTeX with hyperref""
)"	2024-03-06 00:43:08 +0000	2601365
/Users/bustin/Downloads/petase/drive_petase/Reviews/genomicLLM_2025.pdf	genomicLLM_2025.pdf	Genomic language models: opportunities and challenges	"(
    Elsevier
)"	2025-06-14 20:35:16 +0000	1274994
/Users/bustin/Downloads/petase/drive_petase/Reviews/neuroinflammation_sciencereeview.pdf	neuroinflammation_sciencereeview.pdf	Neuroinflammation across neurological diseases	"(
    ""Adobe InDesign 19.5 (Windows)""
)"	2025-06-22 19:01:02 +0000	4853849
/Users/bustin/Downloads/petase/drive_petase/Reviews/proteineng_20yrs.pdf	proteineng_20yrs.pdf			2023-01-12 22:43:10 +0000	2036881
/Users/bustin/Downloads/petase/drive_petase/Reviews/virtual_cell_2024.pdf	virtual_cell_2024.pdf	How to build the virtual cell with artificial intelligence: Priorities and opportunities	"(
    Elsevier
)"	2025-04-07 18:16:06 +0000	4130922
/Users/bustin/Downloads/petase/drive_petase/docking/CAML.pdf	CAML.pdf	CAML: Commutative Algebra Machine Learning─A Case Study on Protein–Ligand Binding Affinity Prediction	"(
    ""Arbortext Publishing Engine""
)"	2025-06-22 16:01:38 +0000	3523777
/Users/bustin/Downloads/petase/drive_petase/docking/batchdock_autodockvina.pdf	batchdock_autodockvina.pdf	An accurate and universal protein-small molecule batch docking solution using Autodock Vina	"(
    Elsevier
)"	2025-06-20 16:27:38 +0000	7861985
